CompanyName,Symbol,Sector,CompanyId,SecurityId
"Integrated Micro-Electronics, Inc.",IMI,Industrial,622,551
"Imperial Resources, Inc.",IMP,Services,201,336
"Philippine Infradev Holdings, Inc.",INFRA,Property,84,337
"Ionics, Inc.",ION,Industrial,203,204
"IPM Holdings, Inc.",IPM,Services,4,218
"iPeople, inc.",IPO,Services,85,205
"Island Information & Technology, Inc.",IS,Services,204,128
"Jackstones, Inc.",JAS,Services,134,392
Jollibee Foods Corporation,JFC,Industrial,86,158
"JG Summit Holdings, Inc.",JGS,Holding Firms,210,207
Jolliville Holdings Corporation,JOH,Industrial,261,470
"The Keepers Holdings, Inc.",KEEPR,Industrial,2,150
"Keppel Philippines Properties, Inc.",KEP,Property,88,306
"Keppel Philippines Holdings, Inc.",KPH,Holding Firms,87,208
"Kepwealth Property Phils., Inc.",KPPI,"Small, Medium & Emerging Board",672,645
"City & Land Developers, Incorporated",LAND,Property,209,308
"LBC Express Holdings, Inc.",LBC,Services,236,469
Lepanto Consolidated Mining Company,LC,Mining and Oil,98,326
